0 Cone 27 x 0.25
0 Name: 1-4con27.dat
0 Author: Steve Bliss [sbliss]
0 !LDRAW_ORG Primitive UPDATE 2010-02
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 2007-10-11 [Philo] Set control points of edge optional lines in tangent plane
0 !HISTORY 2010-07-05 [PTadmin] Official Update 2010-02

4 16 27 1 0 24.9453 1 10.3329 25.8692 0 10.7156 28 0 0
4 16 24.9453 1 10.3329 19.0917 1 19.0917 19.7988 0 19.7988 25.8692 0 10.7156
4 16 19.0917 1 19.0917 10.3329 1 24.9453 10.7156 0 25.8692 19.7988 0 19.7988
4 16 10.3329 1 24.9453 0 1 27 0 0 28 10.7156 0 25.8692
0 conditional lines
5 24 27 1 0 28 0 0 27 1 -10.3329 24.9453 1 10.3329
5 24 24.9453 1 10.3329 25.8692 0 10.7156 27 1 0 19.0917 1 19.0917
5 24 19.0917 1 19.0917 19.7988 0 19.7988 24.9453 1 10.3329 10.3329 1 24.9453
5 24 10.3329 1 24.9453 10.7156 0 25.8692 19.0917 1 19.0917 0 1 27
5 24 0 1 27 0 0 28 10.3329 1 24.9453 -10.3329 1 27
0 end of file
0
